AMR,Alice: Madness Returns
SM,The Amazing Spider-Man
SM2,The Amazing Spider-Man 2
AC,Assassin's Creed
AC2,Assassin's Creed 2
AC3,Assassin's Creed 3
AC4,Assassin's Creed 4
ACB,Assassin's Creed Brotherhood
ACR,Assassin's Creed Revelations
BAA,Batman: Arkham Asylum
BAC,Batman: Arkham City
BAO,Batman: Arkham Origins
BF3,Battlefield 3
BF4,Battlefield 4
BFBC,Battlefield: Bad Company
BFBC2,Battlefield: Bad Company 2
BA,Bayonetta
B08,Beijing 2008
BG,Beowulf: The Game
BTS,Beyond: Two Souls
BS,BioShock
BS2,BioShock 2
BSI,BioShock Infinite
BSR,Bleach: Soul Ressureccion
COD3,Call of Duty 3
CODG,Call of Duty: Ghosts
COD4,Call of Duty 4: Modern Warfare
CODMW2,Call of Duty: Modern Warfare 2
CODMW3,Call of Duty: Modern Warfare 3
CODBO,Call of Duty: Black Ops
CODBO2,Call of Duty: Black Ops 2
CODBO3,Call of Duty: Black Ops 3
CODWAW,Call of Duty: World at War
COJBIB,Call of Juarez: Bound in Blood
COJTC,Call of Juarez: The Cartel
C2,Cars 2: The Video Game
CNPTE,Cartoon Network: Punch Time Explosion XL
CE,Catherine
CS,Crysis
CS2,Crysis 2
CS3,Crysis 3
DKS,Darksiders
DKS2,Darksiders 2
DI,Dead Island
DOA5,Dead or Alive 5
DR2,Dead Rising 2
DS,Dead Space
DS2,Dead Space 2
DS3,Dead Space 3
DJR,Def Jam Rapstar
DJI,Def Jam: Icon
DST,Destiny
DAO,Dragon Age: Origins
DAOA,Dragon Age: Origins - Awakening
DA2,Dragon Age 2
DBZBZ,Dragon Ball Z: Battle of Z
DBZBL,Dragon Ball Z: Burst Limit
DBZRB,Dragon Ball Z: Raging Blast
DBZRB2,Dragon Ball Z: Raging Blast 2
DBZUT,Dragon Ball Z: Ultimate Tenkaichi
D514,Dust 514
EASMMA,EA Sports MMA
EOTTW,Enslaved: Odyssey to the West
FEAR,F.E.A.R. 
FEAR2,F.E.A.R. 2: Project Origin
FEAR3,F.E.A.R. 3
F3,Fallout 3
FC2,Far Cry 2
FC3,Far Cry 3
FA08,FIFA 08
FA09,FIFA 09
FA10,FIFA 10
FA11,FIFA 11
FA12,FIFA 12
FAS,FIFA Street
FAS3,FIFA Street 3
TFLO,The Fight: Lights Out
FNC,Fight Night Champion
FNR3,Fight Night Round 3
FNR4,Fight Night Round 4
GOW3,God of War 3
GOWA,God of War: Ascension
GT5,Gran Turismo 5
GT6,Gran Turismo 6
GTA4,Grand Theft Auto 4
GTA5,Grand Theft Auto 5
HS,Heavanly Sword
HR,Heavy Rain
TI,The Ico & Shadow of the Colossus Collection
IF,Infamous
IF2,Infamous 2
INJ,Injustice: Gods Among Us
JSV,J-Stars Victory VS
JDC,Jak and Daxter Collection
JY,Journey
JC2,Just Cause 2
KF,Katamari Forever
KZ2,Killzone2
KZ3,Killzone3
KHHD1.5,Kingdom Hearts HD 1.5 Remix
KHHD2.5,Kingdom Hearts HD 2.5 Remix
LAN,L.A. Noire
LOU,The Last of US
LB,Lego Batman: The Video Game
LB2,Lego Batman 2: DC Super Heroes
LB3,Lego Batman 3: Beyond Gotham
LIJ,Lego Indiana Jones: The Original Adventures
LIJ2,Lego Indiana Jones 2: The Adventure Continues
LSW,Lego Star Wars: The Complete Saga
LSW3,Lego Star Wars 3: The Clone Wars
LSWFA,Lego Star Wars: The Forcce Awakens
LBP,LittleBigPlanet
LBP2,LittleBigPlanet 2
LBPK,LittleBigPlanet Karting
M15,Madden NFL 15
M16,Madden NFL 16
M17,Madden NFL 17
M25,Madden NFL 25
MVC3,Marvel vs Capcom 3: Fate of Two Worlds
ME,Mass Effect
ME2,Mass Effect 2
ME3,Mass Effect 3
MP3,Max Payne 3
MGR,Metal Gear Rising: Revengeance
MGS4,Metal Gear Solid 4: Guns of the Patriots
MC,Minecraft 
MCSM,Minecraft: Story Mode 
MSE,Mirror's Edge
MLB10,MLB 10 the Show 
MLB14,MLB 14 the Show 
MLB15,MLB 15 the Show 
MLB16,MLB 16 the Show 
MINC,"Monsters, Inc."
NUNS,Naruto: Ultimate Ninja Storm
NUNS2,Naruto: Ultimate Ninja Storm 2
NUNSG,Naruto: Ultimate Ninja Storm Generations
NUNS3,Naruto: Ultimate Ninja Storm 3/Full Burst
NUNSR,Naruto Shippuden: Ultimate Ninja Storm Revolution
2K15,NBA 2K15
2K16,NBA 2K16
N14,NCAA Football 14
NFSHP,Need for Speed: Hot Pursuit
NFSMW,Need for Speed: Most Wanted (2013)
NFSR,Need for Speed: Rivals
NNK,Ni no Kuni: Wrath of the White Witch
NGS,Ninja Gaiden Sigma
OHD,Okami HD
OPPW,One Piece: Pirate Warriors
OPPW2,One Piece: Pirate Warriors 2
OFDR,Operation Flashpoint: Dragon Rising
TOB,The Orange Box
P4A,Persona 4 Arena
P5,Persona 5
PASBR,Playstation All-Stars Battle Royale
PMH,Playstation Move Heroes
P2,Portal 2
POPTFS,Prince of Persia: The Forgotten Sands
POPT,Prince of Persia Trilogy
QT,Quantum Theory
RCA4O,Ratchet & Clank: All 4 One
RCFCT,Ratchet & Clank Future: A Crack in Time
RCFTD,Ratchet & Clank Future: Tools of Destruction
RCFQB,Ratchet & Clank Future: Quest for Booty
RCFFA,Ratchet & Clank: Full Frontal Assault
RCHD,Ratchet & Clank HD Collection
RCIN,Ratchet & Clank: Into the Nexus
RE5,Resident Evil 5
RE6,Resident Evil 6
RFM,Resistance: Fall of Man
R2,Resistance 2
R3,Resistance 3
SSSB,Saint Seiya: Sanctuary Battle
SSBS,Saint Seiya: Brave Soldiers
SR2,Saints Row 2
SR3,Saints Row: The Third
SR4,Saints Row IV
SHHD,Silent Hill HD Collection
TSC,The Sly Collection
SCTIT,Sly Cooper: Thieves in Time
SASRT,Sonic and All-Stars Racing Transformed
SSASR,Sonic and Sega All-Stars Racing
SG,Sonic Generations
SU,Sonic Unleashed
STH,Sonic the Hedgehog (2006)
SUGC,Sonic's Ultimate Genesis Collection
SMET,Spider-Man: Edge of Time
SMSD,Spider-Man: Shattered Dimensions
SMWS,Spider-Man: Web of Shadows
SH,Starhawk
SO,Star Ocean: The Last Hope International
SWFU,Star Wars: The Force Unleashed
SWFU2,Star Wars: The Force Unleashed II
SF4,Street Fighter IV
S3,Skate 3
SFXT,Street Fighter X Tekken
TX,Tales of Xillia
T6,Tekken 6
T5,Tekken 5: Dark Ressurection
TKR,Tekken Revolution
TTT2,Tekken Tag Tournament 2
TS3,Toy Story 3
TR,Tomb Raider
TTT,The Tomb Raider Trilogy
TRU,Tomb Raider: Underworld
USF4,Ultra Street Fighter IV
