AHNW,A Hole New World
AWD,A Winter's Daydream
AI,Alien: Isolation
ABSW,Angry Birds Star Wars
AD,Asdivine Dios
ACC,Assassin's Creed Chronicles: China
ACI,Assassin's Creed Chronicles: India
ACR,Assassin's Creed Chronicles: Russia
ATT,Attack of the Toy Tanks
BD,Balthazar's Dream
BF1,Battlefield 1
BF2042,Battlefield 2042
BF4,Battlefield 4
BFV,Battlefield V
B10,Ben 10
BTS,Beyond: Two Souls
BM,Blind Men
BHDC,Breeder Homegrown: Director's Cut
BHL,Bush Hockey League
CODBO4,Call of Duty: Black Ops 4
CODBOC,Call of Duty: Black Ops Cold War
CODMW,Call of Duty: Modern Warfare (2019)
CODV,Call of Duty: Vanguard
CODW,Call of Duty: Warzone
CODWW2,Call of Duty: WWII
CNBC,Cartoon Network: Battle Crashers
CC,Castle Crashers
CSN,Castlevania: Symphony of the Night
CE,Chernobylite
CS,Cities: Skylines
COS,Color Slayer
CB4,Crash Bandicoot 4: It's About Time
CBT,Crash Bandicoot N. Sane Trilogy
CTR,Crash Team Racing Nitro-Fueled
CRG,Creed: Rise to Glory
CH,Cuphead
CNTTTW,Cybarian: The Time Travelling Warrior
DDAE,Darkest Dungeon: Ancestral Edition
DN,Dead Nation
DSR,Deep Space Rush
DAH,Destroy All Humans! (2020)
DBH,Detroit: Become Human
DCG,Disney Classic Games: Aladdin and The Lion King
DF,Dragon Fantasy: Volumes of Westeria
DQH,Dragon Quest Heroes
DSV,Dragon Star Varnir
DC,Dragoon Collection
DD,Dreamworks Dragons: Dawn of New Riders
DCB,Driveclub
FT,Fairy Tail (2020)
FGUK,Fall Guys: Ultimate Knockout
F19,FIFA 19
F20,FIFA 20
FF7,Final Fantasy VII
FF14,Final Fantasy XIV: A Realm Reborn
FF15,Final Fantasy XV
GZ,Generation Zero
GI,Genshin Impact
GOW,God of War (2018)
GBSDN,Goosebumps: Dead of Night
GBSTG,Goosebumps: The Game
GG,Guilty Gear
GTAV,GrandTheftAutoV
IA,Ice Age: Scrat's Nutty Adventure
IFSS,InFamous: Second Son
I2,Injustice 2
IN,Injustice: Gods Among Us
JY,Journey
JD14,Just Dance 2014
JD15,Just Dance 2015
JD17,Just Dance 2017
JD18,Just Dance 2018
JD19,Just Dance 2019
JD20,Just Dance 2020
JD21,Just Dance 2021
KH2.8,Kingdom Hearts HD 2.8 Final Chapter Prologue
KH3,Kingdom Hearts III
KHMM,Kingdom Hearts: Melody of Memory
KFP,Kung Fu Panda: Showdown of Legendary Legends
LB3,LEGO Batman 3: Beyond Gotham
LD,LEGO Dimensions
LJW,LEGO Jurassic World
LMSH,LEGO Marvel Super Heroes
LMSH2,LEGO Marvel Super Heroes 2
LMA,LEGO Marvel's Avengers
LSWFA,LEGO Star Wars: The Force Awakens
LSWSS,LEGO Star Wars: The Skywalker Saga
LH,LEGO The Hobbit
LI,LEGO The Incredibles
LW,LEGO Worlds
LBP3,LittleBigPlanet 3
M15,Madden NFL 15
M19,Madden NFL 19
M20,Madden NFL 20
MVC,Marvel vs. Capcom: Infinite
MEA,Mass Effect: Andromeda
MGSV,Metal Gear Solid V: The Phantom Pain
MD,Minecraft Dungeons
MLB17,MLB The Show 17
MLB18,MLB The Show 18
MLB19,MLB The Show 19
2K16,NBA 2K16
2K18,NBA 2K18
2K19,NBA 2K19
2K20,NBA 2K20
NBA16,NBA Live 16
NFS,Need for Speed (2015)
NHL16,NHL 16
NHL18,NHL 18
NHL19,NHL 19
NHL20,NHL 20
OS,Oddworld: Soulstorm
RB4,Rock Band 4
SJ,Samurai Jack: Battle Through Time
SH,Shakedown: Hawaii
SF,Sonic Forces
SP,South Park: The Fractured But Whole
SPST,South Park: The Stick of Truth
SM18,Spider-Man (2018)
SMMM,Spider-Man: Miles Morales
SSBFBB,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated
SWB,Star Wars Battlefront (2015)
SWB2,Star Wars Battlefront II (2017)
SWFO,Star Wars: Jedi Fallen Order
SWS,Star Wars: Squadrons
SOR4,Streets of Rage 4
TSR,Team Sonic Racing
TR,Terminator: Resistance
LM2,The LEGO Movie 2 Videogame
LM,The LEGO Movie Videogame
LNM,The LEGO Ninjago Movie Videogame
S4,The Sims 4
TR,Tomb Raider (2013)
TB,Transformers: Battlegrounds
TD,Transformers: Devastation
UMVC3,Ultimate Marvel vs. Capcom 3
U4,Uncharted 4: A Thief's End
UNDC,Uncharted: The Nathan Drake Collection
W2,Wolfenstein II: The New Colossus
WNO,Wolfenstein: The New Order
WOB,Wolfenstein: The Old Blood
WY,Wolfenstein: Youngblood
WOT,World of Tanks
WOW,World of Warships: Legends
YKW4,Yo-kai Watch 4++
