AP,Astro's Playroom
BF20425,Battlefield 2042
BX,Bugsnax
CODBOC5,Call of Duty: Black Ops Cold War
CODV5,Call of Duty: Vanguard
CODW5,Call of Duty: Warzone
CB45,Crash Bandicoot 4: It's About Time
FC6,Far Cry 6
LSW5,LEGO Star Wars: The Skywalker Saga
MK11,Mortal Kombat 11
OS5,Oddworld: Soulstorm
RC,Ratchet & Clank: Rift Apart
SBA,Sackboy: A Big Adventure
SH5,Shakedown: Hawaii
SMMM5,Spider-Man: Miles Morales
TR5,Terminator: Resistance
TBR,Tomb Raider (2013)
WDL,Watch Dogs: Legion
GI5,Genshin Impact
